Time stamp,Power,avg_temp
1677365301.1960382, 9.89, 65.75
1677365301.396547, 9.89, 66.0
1677365301.5970762, 9.89, 66.0
1677365301.797599, 9.42, 66.75
1677365301.9981241, 9.42, 66.5
1677365302.198621, 9.42, 66.75
1677365302.399269, 9.42, 66.5
1677365302.599793, 9.42, 66.5
1677365302.8003232, 9.424, 65.75
1677365303.0012004, 9.424, 66.5
1677365303.2017536, 9.424, 65.0
1677365303.4022863, 9.424, 66.25
1677365303.6028175, 9.424, 66.5
1677365303.803357, 10.073, 66.0
1677365304.0038815, 10.073, 67.0
1677365304.204418, 10.073, 66.5
1677365304.4049625, 10.073, 66.75
1677365304.6054862, 10.073, 66.5
1677365304.8060098, 9.722, 65.25
1677365305.0065308, 9.722, 66.5
1677365305.2070622, 9.722, 66.5
1677365305.4075916, 9.722, 66.25
1677365305.60818, 9.722, 66.75
1677365305.8087115, 9.722, 66.25
1677365306.0092437, 9.664, 66.5
1677365306.2097669, 9.664, 67.25
1677365306.4102752, 9.664, 66.0
1677365306.6108034, 9.664, 66.75
1677365306.8113375, 9.806, 66.5
1677365307.0118587, 9.806, 67.25
1677365307.2123895, 9.806, 66.75
1677365307.4129338, 9.806, 66.5
1677365307.6134663, 9.806, 66.5
1677365307.8140566, 9.71, 66.5
1677365308.0145802, 9.71, 67.25
1677365308.2152538, 9.71, 66.25
1677365308.415776, 9.71, 66.75
1677365308.6162946, 9.71, 66.25
1677365308.8168142, 10.126, 66.25
1677365309.0173392, 10.126, 67.0
1677365309.21786, 10.126, 66.75
1677365309.4185426, 10.126, 66.75
1677365309.619072, 10.126, 67.0
1677365309.819602, 10.126, 66.75
1677365310.0201359, 9.893, 66.25
1677365310.2206848, 9.893, 66.25
1677365310.4212208, 9.893, 66.0
1677365310.6217508, 9.893, 66.75
1677365310.8222718, 9.882, 66.25
1677365311.0227766, 9.882, 67.0
1677365311.2233322, 9.882, 67.25
1677365311.4238708, 9.882, 67.25
1677365311.6244073, 9.882, 66.75
1677365311.8249319, 9.951, 66.5
1677365312.0254717, 9.951, 66.5
1677365312.225979, 9.951, 66.5
1677365312.4265025, 9.951, 66.5
1677365312.627056, 9.951, 66.5
1677365312.8275735, 9.817, 66.75
1677365313.0280929, 9.817, 67.25
1677365313.2286587, 9.817, 67.25
1677365313.42915, 9.817, 66.5
1677365313.6296854, 9.817, 67.0
1677365313.8302414, 10.073, 65.5
1677365314.0307658, 10.073, 66.5
1677365314.2313426, 10.073, 66.5
1677365314.4318705, 10.073, 66.25
1677365314.6324127, 10.073, 67.25
1677365314.832947, 9.939, 67.25
1677365315.0334861, 9.939, 67.25
1677365315.2340138, 9.939, 66.0
1677365315.434548, 9.939, 66.5
1677365315.6352332, 9.939, 66.75
1677365315.8357592, 9.939, 66.0
1677365316.0362906, 9.939, 67.0
1677365316.236818, 10.027, 66.0
1677365316.4373322, 10.027, 67.25
1677365316.6378505, 10.027, 67.0
1677365316.838511, 9.817, 66.75
1677365317.0390303, 9.817, 67.0
1677365317.2395842, 9.817, 66.5
1677365317.4401224, 9.817, 66.75
1677365317.6406412, 9.817, 66.5
1677365317.8411858, 9.809, 66.75
1677365318.0417058, 9.809, 66.25
1677365318.2422316, 9.809, 66.75
1677365318.4428961, 9.809, 67.0
1677365318.6434135, 9.809, 67.25
1677365318.8439486, 10.012, 67.0
1677365319.044477, 10.012, 67.5
1677365319.2450013, 10.012, 66.75
1677365319.445533, 10.012, 67.0
1677365319.6460812, 10.012, 67.0
1677365319.846616, 9.542, 66.25
1677365320.0472791, 9.542, 67.5
1677365320.2477942, 9.542, 66.5
1677365320.4483213, 9.542, 66.5
